Nuevo_ID;Clasificador A38;TAMAÑO;DIRECTORIO;FACTOR_EXPANSION;A1003;A1019;A1019_otra;A1034;A1035;A1036;A1037;B2000;B2001;B2002;B2003;B2004;B2005;B2006;B2007;B2026;B2027;C3000;C3001;C3002;C3003;C3004;C3006;C3007;C3008;C3009;C3010;C3011;C3013;C3014;C3015;C3016;C3017;C3018;C3019;C3020;C3021;C3022;C3023;C3024;C3025;C3026;C3027;C3028;C3029;C3030;C3036;C3037;C3038;C3039;C3040;C3041;C3042;C3043;C3044;C3045;C3046;C3047;C3048;C3049;C3050;C3051;C3052;C3053;C3054;C3055;C3056;C3057;C3058;C3059;C3060;C3061;C3062;C3063;C3064;C3065;C3066;C3067;C3068;C3069;C3070;C3071;C3072;C3073;C3100;C3107;C3110;C3111;C3112;C3113;C3115;C3126;C3127;C3128;C3129;C3130;C3131;C3132;C3133;C3134;C3136;C3138;C3140;C3141;C3142;C3143;J8000;J8001;J8002;J8003;J8004;J8005;J8006;J8007;J8008;J8009;J8010;J8011;J8012;J8013;J8014;J8015;J8016;J8017;J8018;J8019;J8020;J8021;J8022;J8023;J8024;J8025;J8026;J8027;J8028;J8029;J8030;J8031;J8032;J8033;J8034;J8035;J8036;J8037;J8038;J8039;J8040;J8041;J8042;J8043;J8044;J8045;J8046;J8047;J8048;J8049;J8050;J8051;J8052;J8053;J8054;D4300;D4301;D4302;D4303;D4310;D4311;D4312;D4313;D4320;D4321;D4322;D4323;D4330;D4331;D4332;D4333;D4400;D4401;D4402;D4403;D4404;D4405;D4410;D4411;D4412;D4413;D4414;D4415;D4420;D4421;D4422;D4423;D4424;D4425;D4430;D4431;D4432;D4433;D4434;D4435;D4500;D4501;D4502;D4503;D4504;D4505;D4510;D4511;D4512;D4513;D4514;D4515;D4520;D4521;D4522;D4523;D4524;D4525;D4530;D4531;D4532;D4533;D4534;D4535;D4600;D4601;D4602;D4603;D4604;D4605;D4606;D4600_mujeres;D4601_mujeres;D4602_mujeres;D4603_mujeres;D4604_mujeres;D4605_mujeres;D4606_mujeres;D4700;D4701;D4702;D4703;D4704;D4705;D4706;D4707;D4717;D4708;D4709;D4710;D4711;D4712;D4713;D4714;D4716;D4715;D4700_JCE_Total;D4701_JCE_Total;D4702_JCE_Total;D4703_JCE_Total;D4704_JCE_Total;D4705_JCE_Total;D4706_JCE_Total;D4707_JCE_Total;D4717_JCE_Total;D4708_JCE_Total;D4709_JCE_Total;D4710_JCE_Total;D4711_JCE_Total;D4712_JCE_Total;D4713_JCE_Total;D4714_JCE_Total;D4716_JCE_Total;D4715_JCE_Total;D4700_Investigadores;D4701_Investigadores;D4702_Investigadores;D4703_Investigadores;D4704_Investigadores;D4705_Investigadores;D4706_Investigadores;D4707_Investigadores;D4717_Investigadores;D4708_Investigadores;D4709_Investigadores;D4710_Investigadores;D4711_Investigadores;D4712_Investigadores;D4713_Investigadores;D4714_Investigadores;D4716_Investigadores;D4715_Investigadores;D4700_Mujeres;D4701_Mujeres;D4702_Mujeres;D4703_Mujeres;D4704_Mujeres;D4705_Mujeres;D4706_Mujeres;D4707_Mujeres;D4717_Mujeres;D4708_Mujeres;D4709_Mujeres;D4710_Mujeres;D4711_Mujeres;D4712_Mujeres;D4713_Mujeres;D4714_Mujeres;D4716_Mujeres;D4715_Mujeres;D4700_Hombres;D4701_Hombres;D4702_Hombres;D4703_Hombres;D4704_Hombres;D4705_Hombres;D4706_Hombres;D4707_Hombres;D4717_Hombres;D4708_Hombres;D4709_Hombres;D4710_Hombres;D4711_Hombres;D4712_Hombres;D4713_Hombres;D4714_Hombres;D4716_Hombres;D4715_Hombres;D4800;D4801;D4802;D4810;D4811;D4812;D4820;D4821;D4822;D4830;D4831;D4832;D4800_Investigadores;D4801_Investigadores;D4802_Investigadores;D4810_Inves_Mujeres;D4811_Inves_Mujeres;D4812_Inves_Mujeres;D4820_Investigadores;D4821_Investigadores;D4822_Investigadores;D4830_Inves_Mujeres;D4831_Inves_Mujeres;D4832_Inves_Mujeres;F6010;F6011;F6012;F6013;F6014;F6015;F6016;F6017;F6018;F6019;F6020;F6021;F6022;F6023;F6023_otra;F6024;F6025;F6026;F6027;F6028;F6030;F6031;F6032;F6033;F6034;F6035;G7000;G7002;H8106;H8107;H8108;H8109;H8110;H8111;H8111_otro;H8112;H8113;H8114;H8115;H8116;H8117;H8119;H8121;H8121_otro;H8122;H8123;H8124;H8125;H8126;I9000;Cantidad de proyectos postulados 2022;Cantidad de proyectos rechazados 2022;Cantidad de proyectos aprobados  2022;Monto total postulado 2022;Monto certificado 2022;Gasto rendido y aprobado 2022
19798;JC;MICRO EMPRESA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;0;0;0;1;2;0;0;3;0;;1;0;0;0;1;0;0;0;0;10000;0;30;10040;0;0;0;0;0;10040;30;0;70;10000;0;40;0;0;0;0;0;10040;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;;10040;0;10040;90;0;0;;;10000;0;0;10;0;0;0;1;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1667;0;0;0,1667;0;0;0;0;0,0833;0;0;0,0833;0;0;0;0;0;0,1667;0;0;0;0,1667;0;0;0;0;0;0;0;0,0833;0;0;0;0,0833;0;0;0;0;0;0;0;0,1667;0;0;0;0,1667;0;0;0;0;0;0;0;0,0833;0;0;0;0,0833;0;0;0;0;0;0;0;0,0833;0;0;0;0;0,0833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0,1667;0,1667;0;0;0;0;0,0833;0,0833;0;0;0;0;0,1667;0,1667;0;0;0;0;0,0833;0,0833;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19799;MB;MICRO EMPRESA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;0;0;0;1;0;0;0;1;0;;1;0;0;0;0;4675;0;0;4675;0;0;108491;113167;0;0;0;0;0;113167;20;20;60;0;0;4676;0;0;108491;0;0;113167;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;60;40;0;0;0;0;0;0;0;;113167;0;108492;;0;1;95;;0;0;0;1;0;0;0;0;;0;0;1;100;0;67900;0;0;0;0;45267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4583;0;0;0,4583;0,3333;0;0;0,3333;0,4583;0;0;0,4583;0,3333;0;0;0,3333;0;0;0,4583;0;0;0,4583;0;0;0,3333;0;0;0,3333;0;0;0,4583;0;0;0,4583;0;0;0,3333;0;0;0,3333;0;0;0,4583;0;0;0,4583;0;0;0,3333;0;0;0,3333;0;0;0,4583;0;0;0,4583;0;0;0,3333;0;0;0,3333;0;0,4583;0;0;0;0;0,4583;0;0,3333;0;0;0;0;0,3333;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0,4583;0;0,4583;0,3333;0;0,3333;0,4583;0;0,4583;0,3333;0;0,3333;0,4583;0;0,4583;0,3333;0;0,3333;0,4583;0;0,4583;0,3333;0;0,3333;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19800;P;MICRO EMPRESA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;19599;0;0;1;3;1;0;5;1;;0;1;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10500;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19801;JC;MICRO EMPRESA;DETERMINÍSTICO;1;2019;2;;100;0;0;0;0;0;0;6;1;0;0;7;0;;1;0;0;0;1;10000;0;0;10000;0;0;400;11500;0;0;0;0;0;11500;30;30;40;5000;0;6500;0;0;0;0;0;11500;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;;11500;0;1500;35;0;0;;;0;0;0;100;0;0;1000;1;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1667;0;0;0,1667;0;0;0;0;0,0833;0;0;0,0833;0;0;0;0;0;0,1667;0;0;0;0,1667;0;0;0;0;0;0;0;0,0833;0;0;0;0,0833;0;0;0;0;0;0;0;0,1667;0;0;0;0,1667;0;0;0;0;0;0;0;0,0833;0;0;0;0,0833;0;0;0;0;0;0;0;0;0;0;0,0833;0;0,0833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0,1667;0;0,1667;0;0;0;0,0833;0;0,0833;0;0;0;0,1667;0;0,1667;0;0;0;0,0833;0;0,0833;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5000;;;;;;;;0;;;;;;;;;;;;;;2;;;;;;
19802;CE;MICRO EMPRESA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;0;0;0;1;0;0;0;1;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;1;0;0;0;0;0;0;0;;;;1;0;0;0;0;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19803;CA;MICRO EMPRESA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;0;0;0;3;0;0;0;3;0;;1;0;0;0;1;38592;0;0;38592;0;720;150;45522;0;0;0;0;0;45522;0;100;0;36418;0;9104;0;0;0;0;0;45522;;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;;45522;0;6930;;0;0;;;0;0;0;720;0;5340;0;0;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6042;0;0;0,6042;0,3542;0;0;0,3542;0,6042;0;0;0,6042;0,3542;0;0;0,3542;0;0;0,6042;0;0;0,6042;0;0;0,3542;0;0;0,3542;0;0;0,6042;0;0;0,6042;0;0;0,3542;0;0;0,3542;0;0;0,6042;0;0;0,6042;0;0;0,3542;0;0;0,3542;0;0;0,6042;0;0;0,6042;0;0;0,3542;0;0;0,3542;0;0,6042;0;0;0;0;0,6042;0;0,3542;0;0;0;0;0,3542;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;100;0,6042;0;0,6042;0,3542;0;0,3542;0,6042;0;0,6042;0,3542;0;0,3542;0,6042;0;0,6042;0,3542;0;0,3542;0,6042;0;0,6042;0,3542;0;0,3542;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;2;;;;;;
19804;I;PEQUEÑA;DETERMINÍSTICO;1;2020;8;;100;0;0;0;83145;0;7;2;1;0;0;10;2;;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12000;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;5000;;;;;;;;0;;;;;;;;;;;;;;3;;;;;;
19805;P;PEQUEÑA;DETERMINÍSTICO;1;2007;2;;100;0;0;0;107000;0;2;6;4;0;0;12;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;;;;2;1;0;0;0;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;2;;;;;;
19806;MA;MICRO EMPRESA;DETERMINÍSTICO;1;2018;8;;100;0;0;0;33936;0;0;4;0;0;0;4;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;1;0;0;0;0;0;0;0;;;;1;1;0;0;0;0;;;;0;;0;0;0;0;0;0;;1;0;0;1;;;;;;1;0;0;0;;2;;;;;;
19807;MA;MICRO EMPRESA;DETERMINÍSTICO;1;2018;2;;100;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;1;0;0;0;0;0;0;0;;;;1;0;0;0;0;0;;;;0;;0;1;0;0;0;0;;1;0;0;1;;;;;;0;0;0;0;;1;;;;;;
19808;CF;PEQUEÑA;DETERMINÍSTICO;1;2021;8;;100;0;0;0;586786;0;20;7;0;0;0;27;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;;;;2;1;0;0;0;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19809;CA;PEQUEÑA;DETERMINÍSTICO;1;2004;4;;100;0;0;0;84000;0;8;0;0;0;0;8;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;0;1;0;0;0;0;0;0;0;0;;;;13;1;0;0;0;0;;;;0;;0;0;0;0;1;0;;1;0;0;1;;;;;;1;0;0;0;;1;;;;;;
19810;CA;MICRO EMPRESA;DETERMINÍSTICO;1;2016;8;;100;0;0;0;48000;0;3;0;0;0;0;3;0;;0;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6000;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19811;CG;MICRO EMPRESA;DETERMINÍSTICO;1;2020;8;;100;0;0;0;0;0;0;2;0;0;0;2;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;1;0;0;0;0;0;0;0;;;;1;0;0;0;0;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
19812;JC;PEQUEÑA;DETERMINÍSTICO;1;2019;8;;100;0;0;0;145036;0;1;5;2;1;0;9;2;;1;0;0;0;1;0;8549;0;8549;2325;0;50;11024;0;0;0;0;0;11024;0;40;60;2325;0;8699;0;0;0;0;0;11024;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;11024;0;2475;80;0;0;;;2325;0;0;100;0;0;0;1;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,125;0,5625;0;0,6875;0;0;0;0;0,0625;0,2656;0;0,3281;0;0;0;0;0,125;0;0,5625;0;0;0,6875;0;0;0;0;0;0;0,0625;0;0,2656;0;0;0,3281;0;0;0;0;0;0;0,125;0;0;0;0;0,125;0;0;0;0;0;0;0,0625;0;0;0;0;0,0625;0;0;0;0;0;0;0;0,0625;0;0;0;0;0,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,0476;0;19,0476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,0476;0;19,0476;0,5625;0,125;0,6875;0;0;0;0,2656;0,0625;0,3281;0;0;0;0;0,125;0,125;0;0;0;0;0,0625;0,0625;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;1;50000;;;;;;;;0;;;;;;;;;;;;;;2;;;;;;
19813;JC;MICRO EMPRESA;DETERMINÍSTICO;1;2016;8;;100;0;0;0;0;0;0;3;1;0;0;4;0;;1;0;0;0;1;6500;0;0;6500;0;0;10;6620;0;0;0;0;0;6620;0;100;0;4620;0;2000;0;0;0;0;0;6620;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;;6620;0;120;60;0;0;;;0;0;0;10;100;0;0;1;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,875;0;0;0,875;0;0;0;0;0,5625;0;0;0,5625;0;0;0;0;0;0,125;0,75;0;0;0,875;0;0;0;0;0;0;0;0,0625;0,5;0;0;0,5625;0;0;0;0;0;0;0;0,125;0,75;0;0;0,875;0;0;0;0;0;0;0;0,0625;0,5;0;0;0,5625;0;0;0;0;0;0;0;0,5625;0;0;0;0;0,5625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0,875;0;0,875;0;0;0;0,5625;0;0,5625;0;0;0;0,875;0;0,875;0;0;0;0,5625;0;0,5625;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;2;;;;;;
19814;MB;MICRO EMPRESA;DETERMINÍSTICO;1;2020;8;;100;0;0;0;0;0;0;0;0;2;0;2;3;;1;0;0;0;1;4000;0;0;4000;0;0;20;4040;0;0;0;0;0;4040;20;30;50;2000;0;2040;0;0;0;0;0;4040;;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;4040;0;40;;0;0;;;0;0;0;20;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4040;0;0;0;0;0;0;0;0;0,25;0;0;0,25;0,25;0;0;0,25;0,0625;0;0;0,0625;0,0625;0;0;0,0625;0,25;0;0;0;0;0,25;0,25;0;0;0;0;0,25;0,0625;0;0;0;0;0,0625;0,0625;0;0;0;0;0,0625;0,25;0;0;0;0;0,25;0,25;0;0;0;0;0,25;0,0625;0;0;0;0;0,0625;0,0625;0;0;0;0;0,0625;0,0625;0;0;0;0;0;0,0625;0,0625;0;0;0;0;0;0,0625;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0,25;0,25;0;0,25;0,0625;0;0,0625;0,0625;0;0,0625;0,25;0;0,25;0,25;0;0,25;0,0625;0;0,0625;0,0625;0;0,0625;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;1;0;0;1;;;;;;0;0;1;0;;4;;;;;;
19815;MA;MICRO EMPRESA;DETERMINÍSTICO;1;2019;8;;100;0;0;0;3347;0;0;0;1;0;0;1;0;;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;0;0;0;0;0;;;;2;1;0;0;0;0;;;;0;;;;;;;;;0;;;;;;;;;;;;;;1;;;;;;
